VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Lures/Guitar_B.wav,1,OLD,,,1,1,0.366505,0,47,47,47,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,NEW,,,2,1,0.50359,0,48,48,48,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Whistle_A.wav,3,NEW,,,2,1,0.338055,0,49,49,49,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Duck_B.wav,2,SIMILAR,,,2,1,0.45198,0,50,50,50,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Laugh_D.wav,2,SIMILAR,,,2,1,0.661565,0,51,51,51,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,,,1,1,0.737875,0,52,52,52,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Cello.wav,1,OLD,,,1,1,1.303675,0,53,53,53,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,3,NEW,,,2,1,1.001155,0,54,54,54,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Chomp_B.wav,3,NEW,,,2,1,0.30322,0,55,55,55,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,1,OLD,,,2,0,1.235645,0,56,56,56,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,NEW,,,2,1,0.202125,0,57,57,57,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Trumpet_A.wav,2,SIMILAR,,,2,1,0.33657,0,58,58,58,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,,,2,1,0.302845,0,59,59,59,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Snore_C.wav,2,SIMILAR,,,1,0,0.42165,0,60,60,60,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Airhorn.wav,3,NEW,,,2,1,0.41919,0,61,61,61,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Whistle_B.wav,2,SIMILAR,,,2,1,0.05136,0,62,62,62,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,1,OLD,,,1,1,0.40428,0,63,63,63,1,,
