VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_A.wav,2,3,NEW,C,,,2,1,0.32258,0,26,26,26,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,C,,,2,1,0.333685,0,27,27,27,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Coin_D.wav,2,3,NEW,C,,,2,1,0.41968,0,28,28,28,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,C,,,1,0,0.51267,0,29,29,29,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/PaperRip.wav,2,3,NEW,C,,,2,1,0.587665,0,30,30,30,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,1,1,OLD,C,,,2,0,0.31949,0,31,31,31,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,1,1,OLD,C,,,1,1,0.241465,0,32,32,32,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,1,1,OLD,C,,,2,0,0.27708,0,33,33,33,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_D.wav,2,3,NEW,C,,,2,1,0.64365,0,34,34,34,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,1,1,OLD,C,,,2,0,0.45372,0,35,35,35,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,C,,,1,0,0.249055,0,36,36,36,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,C,,,2,0,0.494585,0,37,37,37,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bullfrog.wav,2,3,NEW,C,,,2,1,0.17104,0,38,38,38,1
