VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,,,3,1,0.683795,0,92,92,92,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,,,1,1,2.777135,0,93,93,93,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_C.wav,,,2,1,2.43998,0,94,94,94,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_B.wav,,,2,1,1.70087,0,95,95,95,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,,,1,1,1.228235,0,96,96,96,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,,,1,1,0.75901,0,97,97,97,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_C.wav,,,2,1,0.73568,0,98,98,98,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,,,1,1,0.578085,0,99,99,99,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_B.wav,,,2,1,1.00687,0,100,100,100,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Footsteps_B.wav,,,3,1,0.952545,0,101,101,101,1,,
