VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.207,0,67,67,67,1,,
,,,,,,,,,,,,,,,,CarStart_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.287,0,68,68,68,1,,
,,,,,,,,,,,,,,,,Chomp_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,4.304,0,69,69,69,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.154,0,70,70,70,1,,
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,25.571,0,71,71,71,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.864,0,72,72,72,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Guitar_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.547,0,73,73,73,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,11.466,0,74,74,74,1,,
,,,,,,,,,,,,,,,,Dog_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,12.971,0,75,75,75,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.498,0,76,76,76,1,,
