VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,,,3,1,0.3346,0,36,36,36,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,1,1,0.702005,0,37,37,37,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,,,3,1,0.3564,0,38,38,38,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,,,3,1,0.34139,0,39,39,39,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,1,1,0.37433,0,40,40,40,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,,,3,1,0.41764,0,41,41,41,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,,,3,1,0.35112,0,42,42,42,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,1,1,2.60023,0,43,43,43,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,,,3,1,0.453005,0,44,44,44,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,,,3,1,0.36036,0,45,45,45,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,1,1,0.46834,0,46,46,46,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,,,3,1,0.352475,0,47,47,47,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,,,3,1,0.58975,0,48,48,48,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,,,3,1,4.72025,0,49,49,49,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,,,3,1,0.38924,0,50,50,50,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,,,3,1,0.364895,0,51,51,51,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,1,1,1.826085,0,52,52,52,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Laugh_C.wav,,,3,0,0.366805,0,53,53,53,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Cough_D.wav,,,2,1,3.21973,0,54,54,54,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,,,1,1,0.48656,0,55,55,55,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,,,3,1,0.435045,0,56,56,56,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,,,1,1,0.87885,0,57,57,57,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,CarStart_D.wav,,,1,0,0.3175,0,58,58,58,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Chomp_B.wav,,,2,1,0.4608,0,59,59,59,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,,,3,0,2.017105,0,60,60,60,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,,,1,0,0.386065,0,61,61,61,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Dog_C.wav,,,2,1,0.66403,0,62,62,62,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Laugh_D.wav,,,2,1,4.737945,0,63,63,63,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,,,1,1,0.90967,0,64,64,64,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Cough_C.wav,,,3,0,0.371255,0,65,65,65,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,,,3,1,0.47125,0,66,66,66,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,,,1,1,0.34547,0,67,67,67,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,CarStart_B.wav,,,1,0,0.473805,0,68,68,68,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Chomp_C.wav,,,2,1,3.775445,0,69,69,69,1,,
