VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,NEW,,,2,1,0.336,0,58,58,58,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,OLD,,,1,1,0.519,0,59,59,59,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,ManWhistle_D.wav,SIMILAR,,,2,1,1.066,0,60,60,60,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,OLD,,,1,1,0.366,0,61,61,61,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,NEW,,,2,1,0.767,0,62,62,62,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,NEW,,,2,1,0.337,0,63,63,63,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,OLD,,,1,1,1.085,0,64,64,64,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,OLD,,,1,1,0.272,0,65,65,65,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,NEW,,,2,1,0.969,0,66,66,66,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_C.wav,SIMILAR,,,2,1,0.367,0,67,67,67,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,OLD,,,2,0,0.359,0,68,68,68,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,NEW,,,2,1,1.868,0,69,69,69,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Growl_A.wav,NEW,,,2,1,0.389,0,70,70,70,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_D.wav,SIMILAR,,,2,1,0.917,0,71,71,71,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,OLD,,,1,1,0.268,0,72,72,72,1,,
